lat_r,lon_r,start_rides,geometry,dot_class,index_right,zip,zip_class,matrix_cat,start_station_name
38.9045,-77.047,1,POINT (-8576832.807149349 4708001.2342996085),small,70.0,20037,dark,Net sink ZIP,21st & L St NW 
38.9045,-77.0349,1,POINT (-8575485.841310749 4708001.2342996085),small,68.0,20005,dark,Net sink ZIP,15th & L St NW
38.9045,-77.0052,1,POINT (-8572179.65243419 4708001.2342996085),small,52.0,20002,dark,Net sink ZIP,M St & Delaware Ave NE
38.9048,-77.0628,1,POINT (-8578591.65510388 4708044.148952335),small,46.0,20007,dark,Net sink ZIP,Wisconsin Ave & K St NW
38.9048,-77.0414,1,POINT (-8576209.418000905 4708044.148952335),small,71.0,20036,dark,Net sink ZIP,18th & M St NW
38.9049,-77.0425,1,POINT (-8576331.86944078 4708058.4538768735),small,71.0,20036,dark,Net sink ZIP,18th & M St NW
38.9049,-77.0422,1,POINT (-8576298.47359354 4708058.4538768735),small,71.0,20036,dark,Net sink ZIP,18th & M St NW
38.9049,-77.0419,2,POINT (-8576265.077746302 4708058.4538768735),medium,71.0,20036,dark,Balanced,18th & M St NW
38.9049,-77.0418,1,POINT (-8576253.945797224 4708058.4538768735),small,71.0,20036,dark,Net sink ZIP,18th & M St NW
38.9049,-77.0416,3,POINT (-8576231.681899065 4708058.4538768735),medium,71.0,20036,dark,Balanced,18th & M St NW
38.9049,-77.0415,1,POINT (-8576220.549949987 4708058.4538768735),small,71.0,20036,dark,Net sink ZIP,18th & M St NW
38.9049,-77.0413,1,POINT (-8576198.286051828 4708058.4538768735),small,71.0,20036,dark,Net sink ZIP,18th & M St NW
38.9049,-77.0341,1,POINT (-8575396.785718115 4708058.4538768735),small,68.0,20005,dark,Net sink ZIP,15th & M St NW
38.9049,-77.0032,1,POINT (-8571957.013452604 4708058.4538768735),small,52.0,20002,dark,Net sink ZIP,M St & Delaware Ave NE
38.905,-77.0446,1,POINT (-8576565.640371446 4708072.758821564),small,71.0,20036,dark,Net sink ZIP,20th & M St NW 
